Date,Open,High,Low,Close,Volume,Adj Close
2015-11-13,204.350006,204.669998,202.440002,202.539993,145494400,202.539993
2015-11-12,206.50,207.059998,204.820007,204.839996,118209400,204.839996
2015-11-11,208.880005,208.940002,207.660004,207.669998,67251000,207.669998
2015-11-10,207.509995,208.600006,207.190002,208.550003,71844000,208.550003
2015-11-09,209.309998,209.490005,206.949997,208.050003,123398500,208.050003
2015-11-06,209.740005,210.320007,208.460007,210.039993,105423100,210.039993
2015-11-05,210.429993,210.979996,209.089996,210.119995,75834200,210.119995
2015-11-04,211.350006,211.50,209.720001,210.380005,90967700,210.380005
2015-11-03,209.970001,211.660004,209.699997,210.949997,94524100,210.949997
2015-11-02,208.320007,210.619995,208.169998,210.330002,82533600,210.330002
2015-10-30,209.059998,209.440002,207.740005,207.869995,125338300,207.869995
2015-10-29,208.350006,209.270004,208.210007,208.889999,84727800,208.889999
2015-10-28,207.00,208.979996,206.210007,208.940002,132528000,208.940002
2015-10-27,206.199997,207.00,205.789993,206.570007,74930600,206.570007
2015-10-26,207.300003,207.369995,206.559998,206.990005,66254500,206.990005
2015-10-23,207.25,207.949997,206.300003,207.520004,138355700,207.520004
2015-10-22,202.979996,205.509995,201.850006,205.210007,164941500,205.210007
2015-10-21,203.610001,203.789993,201.649994,201.869995,99149500,201.869995
2015-10-20,202.850006,203.839996,202.550003,203.089996,75598000,203.089996
2015-10-19,202.50,203.369995,202.130005,203.320007,73106800,203.320007
2015-10-16,202.830002,203.289993,201.919998,203.270004,109692900,203.270004
2015-10-15,200.080002,202.360001,199.639999,202.289993,125812600,202.289993
2015-10-14,200.179993,200.869995,198.940002,199.300003,95532400,199.300003
2015-10-13,200.649994,202.160004,200.050003,200.179993,83578000,200.179993
2015-10-12,201.419998,201.759995,200.910004,201.589996,55425200,201.589996
2015-10-09,201.380005,201.899994,200.580002,201.399994,94899000,201.399994
2015-10-08,199.410004,201.550003,198.589996,201.199997,148387100,201.199997
2015-10-07,198.899994,199.830002,197.479996,199.429993,120246700,199.429993
2015-10-06,198.309998,198.979996,197.00,197.809998,106144200,197.809998
2015-10-05,196.460007,198.740005,196.330002,198.479996,122213200,198.479996
2015-10-02,189.770004,195.029999,189.119995,194.990005,206129500,194.990005
2015-10-01,192.080002,192.490005,189.820007,192.160004,127828700,192.160004
2015-09-30,190.369995,191.830002,189.440002,191.589996,152593200,191.589996
2015-09-29,188.270004,189.740005,186.929993,188.080002,152279900,188.080002
2015-09-28,191.779999,191.910004,187.639999,187.910004,158514500,187.910004
2015-09-25,194.639999,195.00,191.809998,192.869995,142052900,192.869995
2015-09-24,192.149994,193.449997,190.559998,192.929993,159378800,192.929993
2015-09-23,194.110001,194.669998,192.910004,193.600006,91273100,193.600006
2015-09-22,193.880005,194.460007,192.559998,193.899994,153890900,193.899994
2015-09-21,196.440002,197.679993,195.210007,196.440002,105726200,196.440002
2015-09-18,195.710007,198.679993,194.960007,195.360001,223657500,195.360001
2015-09-17,200.020004,202.889999,199.279999,199.699997,276046600,198.667003
2015-09-16,198.820007,200.410004,198.410004,200.139999,99581600,199.104729
2015-09-15,196.610001,198.990005,195.960007,198.449997,113806200,197.423469
2015-09-14,196.949997,197.009995,195.429993,195.979996,79452000,194.966244
2015-09-11,195.380005,196.820007,194.529999,196.809998,119691200,195.791953
2015-09-10,194.559998,197.220001,194.25,195.850006,158611100,194.836927
2015-09-09,199.320007,199.470001,194.350006,194.759995,149347700,193.752554
2015-09-08,195.940002,197.610001,195.169998,197.460007,116025700,196.4386
2015-09-04,192.850006,193.860001,191.610001,192.589996,207081000,191.59378
2015-09-03,196.259995,198.050003,194.960007,195.649994,152087800,194.637949
2015-09-02,194.619995,195.460007,191.770004,195.360001,160269300,194.349456
2015-09-01,193.119995,194.770004,190.729996,191.919998,256000400,190.927248
2015-08-31,198.110001,199.130005,197.009995,197.539993,163298800,196.518172
2015-08-28,198.50,199.839996,197.919998,199.240005,160414400,198.209391
2015-08-27,197.020004,199.419998,195.210007,199.160004,274143900,198.129803
2015-08-26,192.080002,194.789993,188.369995,194.679993,339257000,193.672966
2015-08-25,195.429993,195.449997,186.919998,187.229996,369833100,186.261506
2015-08-24,197.630005,197.630005,182.399994,189.550003,507244300,188.569512
2015-08-21,201.729996,203.940002,197.520004,197.630005,346588500,196.607718
2015-08-20,206.509995,208.289993,203.899994,204.009995,194327900,202.954706
2015-08-19,209.089996,210.009995,207.350006,208.279999,167316300,207.202623
2015-08-18,210.259995,210.679993,209.699997,209.929993,71692700,208.844082
2015-08-17,208.710007,210.589996,208.160004,210.559998,79072600,209.470828
2015-08-14,208.429993,209.509995,208.259995,209.360001,72786500,208.277038
2015-08-13,208.729996,209.550003,208.009995,208.699997,89383300,207.620448
2015-08-12,207.110001,209.139999,205.360001,208.830002,168996000,207.749781
2015-08-11,208.970001,209.470001,207.759995,208.660004,126081400,207.580662
2015-08-10,209.279999,210.669998,209.279999,210.630005,80270700,209.540473
2015-08-07,208.160004,208.339996,206.869995,207.919998,117858000,206.844484
2015-08-06,210.289993,210.419998,207.649994,208.350006,116030800,207.272268
2015-08-05,210.449997,211.309998,209.729996,210.100006,85786800,209.013216
2015-08-04,209.699997,210.25,208.800003,209.320007,81820800,208.237252
2015-08-03,210.460007,210.529999,208.649994,209.729996,113965700,208.645119
2015-07-31,211.419998,211.449997,210.160004,210.449997,103266900,209.361396
2015-07-30,210.160004,211.020004,209.419998,210.820007,91304400,209.729492
2015-07-29,209.479996,211.039993,209.309998,210.770004,105791300,209.679748
2015-07-28,207.789993,209.50,206.800003,209.309998,123544800,208.227294
2015-07-27,208.00,208.00,206.259995,206.740005,132361100,205.670595
2015-07-24,210.300003,210.369995,207.600006,207.940002,117755000,206.864385
2015-07-23,211.529999,211.649994,209.75,210.139999,90509100,209.053002
2015-07-22,210.929993,211.770004,210.889999,211.289993,88667900,210.197047
2015-07-21,212.429993,212.740005,211.389999,211.759995,77965000,210.664617
2015-07-20,212.75,213.179993,212.210007,212.619995,70446800,211.520169
2015-07-17,212.289993,212.550003,211.800003,212.470001,89030000,211.370951
2015-07-16,211.869995,212.300003,211.580002,212.270004,106683300,211.171989
2015-07-15,210.729996,211.279999,210.039993,210.630005,97914100,209.540473
2015-07-14,209.720001,211.050003,209.649994,210.720001,81709600,209.630004
2015-07-13,208.990005,209.899994,208.940002,209.759995,106069400,208.674963
2015-07-10,207.289993,207.979996,204.949997,207.479996,129456900,206.406758
2015-07-09,207.039993,207.350006,204.770004,204.800003,139210600,203.740628
2015-07-08,206.419998,206.759995,204.25,204.529999,164020100,203.47202
2015-07-07,206.960007,208.169998,204.110001,208.009995,173820200,206.934015
2015-07-06,205.770004,207.649994,205.529999,206.669998,117975400,205.60095
2015-07-02,208.070007,208.270004,206.809998,207.320007,104373700,206.247597
2015-07-01,207.729996,208.029999,206.559998,207.570007,135979900,206.496304
2015-06-30,207.259995,207.320007,205.279999,205.889999,182925100,204.824986
2015-06-29,208.050003,209.830002,205.330002,205.470001,202621300,204.40716
2015-06-26,210.289993,210.580002,209.160004,209.899994,104174800,208.814238
2015-06-25,211.100006,211.25,209.770004,209.830002,97107400,208.744608
2015-06-24,211.720001,212.169998,210.470001,210.509995,92307300,209.421083
2015-06-23,212.139999,212.440002,211.570007,212.050003,68476800,210.953126
2015-06-22,211.910004,212.589996,211.639999,211.889999,70696000,210.79395
2015-06-19,211.460007,211.550003,210.360001,210.809998,130478700,209.719534
2015-06-18,211.309998,213.339996,210.630005,212.710007,165867900,210.585039
2015-06-17,210.589996,211.320007,209.360001,210.589996,126708600,208.486207
2015-06-16,208.929993,210.350006,208.720001,210.25,85308200,208.149607
2015-06-15,208.639999,209.449997,207.789993,209.100006,124384200,207.011102
2015-06-12,210.639999,211.479996,209.679993,209.929993,135382400,207.832797
2015-06-11,211.479996,212.089996,211.199997,211.649994,73876400,209.535615
2015-06-10,209.369995,211.410004,209.300003,210.960007,134551300,208.852521
2015-06-09,208.449997,209.100006,207.690002,208.449997,105034700,206.367586
2015-06-08,209.639999,209.820007,208.389999,208.419998,89063300,206.337887
2015-06-05,209.949997,210.580002,208.979996,209.770004,121704700,207.674407
2015-06-04,211.070007,211.860001,209.75,210.130005,151882800,208.030811
2015-06-03,212.00,212.669998,211.330002,211.919998,86954600,209.802922
2015-06-02,211.020004,212.190002,210.270004,211.360001,91531000,209.248519
2015-06-01,211.940002,212.339996,210.619995,211.570007,93338800,209.456428
2015-05-29,212.380005,212.429993,210.820007,211.139999,124919600,209.030716
2015-05-28,212.330002,212.589996,211.630005,212.460007,74974600,210.337536
2015-05-27,211.25,212.979996,210.759995,212.699997,93214000,210.575129
2015-05-26,212.399994,212.910004,210.199997,210.699997,124308600,208.595109
2015-05-22,213.039993,213.539993,212.910004,212.990005,57433500,210.86224
2015-05-21,212.710007,213.75,212.509995,213.50,64764600,211.36714
2015-05-20,213.149994,213.779999,212.50,212.880005,76857500,210.753339
2015-05-19,213.240005,213.570007,212.690002,213.029999,72114600,210.901834
2015-05-18,212.240005,213.399994,212.160004,213.100006,74549700,210.971142
2015-05-15,212.440002,212.610001,211.860001,212.440002,76510100,210.317732
2015-05-14,211.240005,212.320007,210.910004,212.210007,95934000,210.090034
2015-05-13,210.470001,211.220001,209.740005,210.020004,94667900,207.921909
2015-05-12,209.610001,210.630005,208.619995,209.979996,119727600,207.8823
2015-05-11,211.570007,211.889999,210.520004,210.610001,75708100,208.506012
2015-05-08,210.880005,211.860001,210.779999,211.619995,155877300,209.505916
2015-05-07,207.919998,209.380005,207.520004,208.869995,88244900,206.783389
2015-05-06,209.559998,209.929993,206.759995,208.039993,135060200,205.961679
2015-05-05,211.029999,211.460007,208.729996,208.899994,113326200,206.813088
2015-05-04,211.229996,212.020004,211.100006,211.320007,70927200,209.208925
2015-05-01,209.399994,210.770004,209.279999,210.720001,103399700,208.614913
2015-04-30,209.880005,210.350006,207.619995,208.460007,161304900,206.377496
2015-04-29,211.440002,211.440002,209.600006,210.570007,125684900,208.466418
2015-04-28,210.740005,211.50,209.330002,211.440002,86863500,209.327722
2015-04-27,212.330002,212.479996,210.539993,210.770004,79358100,208.664417
2015-04-24,211.660004,211.970001,211.110001,211.649994,61327400,209.535615
2015-04-23,210.149994,211.940002,210.009995,211.160004,102585900,209.05052
2015-04-22,210.009995,210.850006,208.899994,210.630005,78264600,208.525816
2015-04-21,209.850006,210.860001,209.240005,209.600006,72559800,207.506107
2015-04-20,209.059998,210.25,208.960007,209.850006,92189500,207.753609
2015-04-17,208.940002,209.229996,207.009995,207.949997,191113200,205.872581
2015-04-16,210.029999,210.979996,209.789993,210.369995,68934900,208.268404
2015-04-15,210.050003,211.039993,209.949997,210.429993,99529300,208.327802
2015-04-14,208.850006,209.710007,208.100006,209.490005,75099900,207.397205
2015-04-13,209.869995,210.630005,209.029999,209.089996,74436600,207.001192
2015-04-10,209.199997,210.089996,208.960007,210.039993,72722900,207.941699
2015-04-09,207.779999,209.179993,207.190002,208.899994,85548900,206.813088
2015-04-08,207.550003,208.509995,207.080002,207.979996,89351900,205.90228
2015-04-07,207.860001,208.759995,207.240005,207.279999,81236300,205.209276
2015-04-06,206.440002,208.449997,205.210007,207.830002,114368200,205.753785
2015-04-02,205.619995,206.979996,205.399994,206.440002,86900900,204.377672
2015-04-01,206.429993,206.429993,204.509995,205.699997,137303600,203.645059
2015-03-31,207.259995,208.100006,206.360001,206.429993,126768700,204.367762
2015-03-30,206.979996,208.610001,206.960007,208.25,96180400,206.169587
2015-03-27,205.130005,205.949997,204.899994,205.740005,118939000,203.684668
2015-03-26,204.960007,206.369995,204.119995,205.270004,153067200,203.219362
2015-03-25,209.070007,209.350006,205.710007,205.759995,159521700,203.704457
2015-03-24,209.850006,210.399994,208.740005,208.820007,77805300,206.7339
2015-03-23,210.419998,211.110001,210.00,210.00,71784500,207.902105
2015-03-20,209.710007,211.020004,209.490005,210.410004,177715100,208.308013
2015-03-19,209.960007,210.470001,209.029999,209.50,117917300,206.485397
2015-03-18,207.389999,211.270004,206.619995,210.460007,228808500,207.431589
2015-03-17,207.690002,208.419998,206.979996,207.960007,94510400,204.967563
2015-03-16,206.710007,208.690002,205.860001,208.580002,136099200,205.578637
2015-03-13,206.770004,207.929993,204.580002,205.830002,162410900,202.868208
2015-03-12,205.259995,207.179993,205.199997,207.100006,93993500,204.119937
2015-03-11,205.289993,205.50,204.399994,204.50,110145700,201.557344
2015-03-10,206.710007,206.809998,204.929993,204.979996,157121300,202.030433
2015-03-09,207.740005,208.789993,207.550003,208.360001,89818900,205.361801
2015-03-06,209.419998,209.940002,207.100006,207.50,188128000,204.514176
2015-03-05,210.619995,210.800003,209.850006,210.460007,76873000,207.431589
2015-03-04,210.399994,210.490005,209.059998,210.229996,114497200,207.204888
2015-03-03,211.470001,212.050003,210.080002,211.119995,110325800,208.082081
2015-03-02,210.779999,212.059998,210.720001,211.990005,87491400,208.939572
2015-02-27,211.259995,211.580002,210.600006,210.660004,108076000,207.628708
2015-02-26,211.520004,211.710007,210.649994,211.380005,72697900,208.338349
2015-02-25,211.660004,212.240005,211.220001,211.630005,73061700,208.584752
2015-02-24,211.119995,212.050003,210.759995,211.809998,72472300,208.762154
2015-02-23,210.940002,211.210007,210.479996,211.210007,74411100,208.170797
2015-02-20,209.479996,211.330002,208.729996,211.240005,140896400,208.200364
2015-02-19,209.410004,210.419998,209.240005,209.979996,91462500,206.958485
2015-02-18,209.660004,210.220001,209.339996,210.130005,80652900,207.106336
2015-02-17,209.399994,210.320007,209.100006,210.110001,76968200,207.08662
2015-02-13,209.070007,209.839996,208.759995,209.779999,93670400,206.761366
2015-02-12,207.889999,208.990005,206.970001,208.919998,97545900,205.913741
2015-02-11,206.610001,207.449997,205.830002,206.929993,91087800,203.95237
