Date,,Rt-1,Rt-2,Rt-7,Rt-30,Rt-91,Rt-365,,Return t+1 to t+7
8/26/2014,,0.000649164,0.005706861,-0.009731229,-0.013114121,-0.049754071,-0.207439218,,0.004728672
8/25/2014,,0.005057696,0.003502615,-0.014287376,-0.012464957,-0.055232654,-0.203062101,,0.003189631
8/22/2014,,-0.001555081,0.001356431,-0.017574083,-0.002765017,-0.050174958,-0.201370991,,0.004138531
8/21/2014,,0.002911512,0.005579449,-0.018924845,-0.00653763,-0.055730728,-0.211999996,,0.005552935
8/20/2014,,0.002667937,0.007873249,-0.020724035,-0.007974614,-0.055248409,-0.202909238,,0.002508279
8/19/2014,,0.005205312,0.013549715,-0.024802254,-0.003433442,-0.06096961,-0.20514519,,0.011592141
8/18/2014,,0.008344403,0.008140084,-0.01820276,0.001771869,-0.049439357,-0.193527285,,0.012507414
8/15/2014,,-0.000204318,0.004506383,-0.012752104,0.011379952,-0.044757491,-0.181871703,,0.016829117
8/14/2014,,0.004710701,0.011456858,-0.024458914,0.007481148,-0.04842437,-0.167991278,,0.014502136
8/13/2014,,0.006746157,0.005351975,-0.014318763,0.014066126,-0.034894596,-0.158137992,,0.019937208
8/12/2014,,-0.001394182,0.001499565,-0.007885108,0.015789541,-0.023399294,-0.154344126,,0.01952103
8/11/2014,,0.002893747,0.014396238,0.000464269,0.014395359,-0.025688869,-0.154556366,,0.021612771
8/8/2014,,0.011502491,0.006073041,-0.003836815,0.019879687,-0.032484076,-0.148772662,,0.014484487
8/7/2014,,-0.00542945,-0.005116948,0.010725905,0.026907951,-0.022472449,-0.140928271,,0.025830807
8/6/2014,,0.000312502,-0.009431057,0.025242252,0.027929261,-0.026836759,-0.143112001,,0.011440485
8/5/2014,,-0.00974356,-0.002548729,0.025402449,0.031729181,-0.032396298,-0.1371008,,0.016502668
8/4/2014,,0.007194831,0.004134602,0.01996545,0.021985622,-0.033397798,-0.145380874,,0.002637611
8/1/2014,,-0.003060229,-0.023006025,0.026755741,0.024274385,-0.028115423,-0.139883845,,0.005687152
7/31/2014,,-0.019945797,-0.019793491,0.028388069,0.020199613,-0.029740945,-0.154436067,,-0.005728837
7/30/2014,,0.000152305,-0.004154256,0.008391959,-0.006417106,-0.049792967,-0.175093456,,-0.013743616
7/29/2014,,-0.004306561,-0.003902021,0.006326733,-0.005753966,-0.052618902,-0.174941151,,-0.033648576
7/28/2014,,0.00040454,-0.004288017,-0.002328324,-0.010060527,-0.061570027,-0.176168028,,-0.025917018
7/25/2014,,-0.004692557,-0.004642243,-5.05E-05,-0.010882382,-0.06432765,-0.176828497,,-0.025037788
7/24/2014,,5.03E-05,0.002267845,-0.014910445,-0.020084555,-0.06078746,-0.183950976,,-0.02831367
7/23/2014,,0.002217532,0.006566027,-0.003429114,-0.013991886,-0.062762329,-0.180228355,,-0.016327312
7/22/2014,,0.004348496,0.002475262,-0.004906068,-0.011468104,-0.058200241,-0.175884665,,-0.004291341
7/21/2014,,-0.001873234,0.008294104,0.001316706,-0.007119608,-0.058385965,-0.173484982,,0.000807729
7/18/2014,,0.010167339,-0.001263679,-0.005579271,-0.012141382,-0.063740412,-0.177133173,,0.003393692
7/17/2014,,-0.011431018,-0.007736532,0.003213825,-0.00928693,-0.053573074,-0.172428696,,0.008822641
7/16/2014,,0.003694486,0.001820208,-0.004252369,-0.02349349,-0.066399959,-0.186423241,,0.007471366
